station_name,avg_starts_per_day,avg_ends_per_day
5 Corners Library,3.96,3.18
Astor Place,8.14,8.0
Baldwin at Montgomery,7.43,6.64
Bergen Ave,6.18,5.57
Brunswick & 6th,16.14,14.29
Brunswick St,18.29,16.14
Christ Hospital,3.68,2.32
City Hall,17.75,18.75
Columbus Drive,15.46,15.29
Communipaw & Berry Lane,1.86,1.68
Dey St,1.86,3.54
Dixon Mills,13.07,11.82
Essex Light Rail,10.04,11.18
Exchange Place,27.04,32.29
Fairmount Ave,5.18,3.75
Glenwood Ave,3.64,2.43
Grand St,9.57,9.93
Grove St PATH,87.39,99.07
Hamilton Park,34.18,35.14
Harborside,24.14,24.86
Heights Elevator,3.64,3.25
Hilltop,4.71,3.64
JC Medical Center,9.25,9.39
JCBS Depot,0.21,0.43
Jackson Square,0.71,0.71
Jersey & 3rd,16.89,16.21
Jersey & 6th St,17.07,12.93
Journal Square,14.5,13.25
Lafayette Park,3.21,3.71
Leonard Gordon Park,4.79,4.29
Liberty Light Rail,10.07,11.64
Lincoln Park,5.0,5.68
Manila & 1st,11.64,13.5
Marin Light Rail,17.54,18.32
McGinley Square,10.68,8.71
Monmouth and 6th,13.71,13.21
Montgomery St,8.82,9.18
Morris Canal,15.39,12.71
Newark Ave,17.93,19.43
Newport PATH,27.14,26.32
Newport Pkwy,13.14,15.21
Oakland Ave,9.39,6.57
Paulus Hook,14.46,15.68
Pershing Field,9.64,8.68
Riverview Park,2.43,1.93
Sip Ave,38.64,36.43
Union St,1.0,1.07
Van Vorst Park,15.75,13.36
W 15 St & 6 Ave,0.0,0.04
Warren St,12.86,12.71
Washington St,11.5,12.39
York St,6.29,6.57
