station_name,start_morning,end_morning,start_afternoon,end_afternoon,start_evening,end_evening,start_night,end_night
5 Corners Library,0.61,0.32,0.93,1.82,2.18,1.04,0.25,0.0
Astor Place,5.11,0.36,2.25,3.32,0.61,4.07,0.18,0.25
Baldwin at Montgomery,3.89,0.79,1.86,1.71,0.71,4.0,0.96,0.14
Bergen Ave,2.68,1.79,1.71,1.39,1.68,1.64,0.11,0.75
Brunswick & 6th,10.11,1.93,3.25,5.71,2.29,6.5,0.5,0.14
Brunswick St,10.0,1.71,4.75,6.32,3.36,7.46,0.18,0.64
Christ Hospital,2.43,0.07,0.89,0.46,0.32,1.61,0.04,0.18
City Hall,3.32,9.68,5.71,5.04,7.64,3.93,1.07,0.11
Columbus Drive,5.46,4.96,5.11,6.39,4.79,3.68,0.11,0.25
Communipaw & Berry Lane,0.86,0.5,0.61,0.61,0.36,0.46,0.04,0.11
Dey St,0.25,1.64,1.21,1.0,0.36,0.89,0.04,0.0
Dixon Mills,6.96,0.57,3.11,4.82,2.14,6.25,0.86,0.18
Essex Light Rail,4.89,4.93,3.29,2.89,1.75,2.86,0.11,0.5
Exchange Place,1.89,23.71,12.5,5.89,12.32,2.43,0.32,0.25
Fairmount Ave,3.57,0.21,1.11,0.79,0.29,2.71,0.21,0.04
Glenwood Ave,1.93,0.96,0.93,0.25,0.36,1.18,0.43,0.04
Grand St,5.39,2.61,2.39,3.57,1.61,3.75,0.18,0.0
Grove St PATH,10.25,64.04,30.86,20.21,44.79,11.64,1.5,3.18
Hamilton Park,21.32,3.75,8.07,15.07,3.64,15.93,1.14,0.39
Harborside,6.29,13.89,9.57,5.79,7.71,4.46,0.57,0.71
Heights Elevator,1.14,0.89,1.5,0.71,0.93,1.57,0.07,0.07
Hilltop,1.54,1.68,1.96,0.96,1.11,0.96,0.11,0.04
JC Medical Center,4.75,2.75,3.11,3.29,1.25,3.04,0.14,0.32
JCBS Depot,0.14,0.32,0.04,0.11,0.04,0.0,0.0,0.0
Jackson Square,0.32,0.11,0.36,0.36,0.04,0.18,0.0,0.07
Jersey & 3rd,6.93,2.61,5.61,6.86,4.29,6.71,0.07,0.04
Jersey & 6th St,11.0,1.29,3.5,4.46,1.96,6.79,0.61,0.39
Journal Square,3.0,9.75,4.5,2.79,6.29,0.61,0.71,0.11
Lafayette Park,2.43,0.11,0.64,0.86,0.11,2.64,0.04,0.11
Leonard Gordon Park,3.61,0.14,0.68,1.68,0.29,1.36,0.21,1.11
Liberty Light Rail,5.39,2.18,3.18,5.79,1.29,3.57,0.21,0.11
Lincoln Park,2.39,1.07,1.54,1.14,0.71,3.14,0.36,0.32
Manila & 1st,2.71,7.18,3.32,4.04,5.14,2.0,0.46,0.29
Marin Light Rail,9.32,2.96,5.0,5.64,3.04,9.36,0.18,0.36
McGinley Square,5.46,1.07,3.5,2.21,1.46,5.39,0.25,0.04
Monmouth and 6th,8.36,1.25,3.18,3.43,1.61,8.32,0.57,0.21
Montgomery St,2.21,2.54,3.86,4.04,2.71,2.54,0.04,0.07
Morris Canal,9.86,1.07,3.89,5.79,1.39,5.54,0.25,0.32
Newark Ave,6.29,5.21,5.39,8.25,5.64,5.79,0.61,0.18
Newport PATH,5.11,12.07,12.75,8.64,9.0,4.93,0.29,0.68
Newport Pkwy,4.14,3.93,5.29,6.18,3.5,4.96,0.21,0.14
Oakland Ave,6.25,0.54,2.18,2.36,0.86,3.5,0.11,0.18
Paulus Hook,2.14,8.79,7.79,4.82,4.5,2.04,0.04,0.04
Pershing Field,6.5,0.39,1.36,3.64,1.36,4.43,0.43,0.21
Riverview Park,1.04,0.25,0.75,0.64,0.61,1.04,0.04,0.0
Sip Ave,4.68,21.82,12.61,8.11,19.57,4.39,1.79,2.11
Union St,0.61,0.07,0.11,0.36,0.18,0.61,0.11,0.04
Van Vorst Park,8.54,2.04,4.5,5.79,2.43,5.07,0.29,0.46
W 15 St & 6 Ave,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
Warren St,4.96,2.61,4.36,5.32,3.46,4.71,0.07,0.07
Washington St,2.79,5.25,4.79,4.54,3.86,2.54,0.07,0.07
York St,3.21,1.93,1.61,1.93,1.39,2.68,0.07,0.04
