station_name,start_morning,end_morning,start_afternoon,end_afternoon,start_evening,end_evening,start_night,end_night
5 Corners Library,0.5,0.25,0.75,1.0,2.0,0.25,0.0,0.0
Astor Place,0.75,0.25,2.25,1.75,0.5,1.75,0.0,0.25
Baldwin at Montgomery,1.5,0.25,3.25,3.0,0.0,2.0,0.25,0.75
Bergen Ave,1.0,2.25,2.75,1.75,1.0,1.25,0.25,0.5
Brunswick & 6th,3.25,2.25,5.75,4.25,1.25,2.5,0.0,0.0
Brunswick St,1.5,1.5,8.0,4.5,3.75,3.5,0.5,1.25
Christ Hospital,0.5,0.0,1.25,0.25,0.0,0.25,0.0,0.0
City Hall,2.25,2.0,4.25,4.75,2.75,4.5,1.25,0.0
Columbus Drive,0.75,1.0,6.0,6.25,2.75,3.5,0.25,0.25
Communipaw & Berry Lane,0.5,0.5,0.75,0.5,1.0,0.5,0.0,0.0
Dey St,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
Dixon Mills,2.25,0.75,5.5,6.0,1.75,2.5,0.0,1.0
Essex Light Rail,1.5,0.75,2.5,2.25,1.0,1.25,0.0,0.5
Exchange Place,0.75,5.5,8.5,12.0,3.0,0.5,0.0,0.0
Fairmount Ave,0.5,0.5,2.25,1.25,0.25,0.75,0.0,0.25
Glenwood Ave,0.0,1.0,0.5,0.0,0.5,0.5,0.0,0.25
Grand St,2.0,0.5,3.0,3.25,1.5,1.25,0.0,0.0
Grove St PATH,3.0,13.75,22.0,24.5,13.0,8.0,4.25,0.5
Hamilton Park,6.25,2.5,12.5,14.25,4.0,4.25,0.25,0.5
Harborside,5.5,4.25,11.25,7.5,3.5,5.0,0.0,0.25
Heights Elevator,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.0
Hilltop,1.0,0.75,2.25,1.25,1.75,2.0,0.0,0.0
JC Medical Center,1.5,1.0,4.0,4.75,1.0,0.5,0.5,0.5
Jackson Square,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25
Jersey & 3rd,1.75,2.0,9.75,7.5,4.25,5.75,0.0,0.0
Jersey & 6th St,2.75,0.75,4.25,3.25,2.0,4.0,0.0,0.75
Journal Square,1.25,1.25,3.0,2.5,2.25,0.75,0.75,0.0
Lafayette Park,0.75,0.0,1.25,1.0,0.25,1.0,0.0,0.25
Leonard Gordon Park,0.25,0.0,0.75,0.25,0.5,1.0,0.0,1.5
Liberty Light Rail,3.75,1.75,7.25,10.75,1.0,1.0,0.0,0.25
Lincoln Park,1.75,1.25,1.0,1.25,1.0,1.75,0.0,0.75
Manila & 1st,1.25,3.0,4.25,5.5,2.5,2.25,0.25,0.0
Marin Light Rail,3.5,1.25,8.5,8.0,3.0,4.5,0.0,1.0
McGinley Square,1.25,0.75,3.5,1.0,0.25,2.75,0.0,0.0
Monmouth and 6th,1.5,0.5,4.25,3.75,0.75,2.0,0.0,0.0
Montgomery St,2.5,5.75,5.25,5.5,5.25,2.75,0.0,0.0
Morris Canal,4.25,2.0,9.0,7.5,1.5,3.25,0.0,0.25
Newark Ave,3.75,3.25,8.75,9.25,3.0,3.5,1.0,0.75
Newport PATH,3.0,3.5,7.5,14.25,6.25,3.0,0.5,0.5
Newport Pkwy,2.25,0.75,7.5,7.75,1.5,3.25,0.5,0.0
Oakland Ave,0.75,0.0,2.5,2.0,1.0,1.0,0.0,0.5
Paulus Hook,0.75,1.75,2.75,3.25,1.25,1.25,0.25,0.25
Pershing Field,1.5,0.0,2.5,3.25,2.5,3.0,0.0,0.25
Riverview Park,0.0,0.0,0.25,0.5,0.25,0.5,0.0,0.0
Sip Ave,3.75,4.75,7.25,9.0,7.0,2.0,4.25,0.25
Union St,0.25,0.0,0.0,0.25,0.5,0.0,0.0,0.0
Van Vorst Park,3.75,2.25,5.25,6.25,1.5,3.25,0.25,0.75
Warren St,3.0,1.75,7.25,6.25,2.5,2.5,0.0,0.25
Washington St,1.0,0.75,3.75,4.75,1.25,1.25,0.25,0.0
York St,1.5,2.0,1.75,1.5,1.25,2.0,0.0,0.0
